,table_name,raw_labels,most_granular_concept_synonyms,label_hierarchies
0,c2_data/1st-parliament-of-canada-enhanced,"[['personname', 'name', 'person', 'name', 'person', 'name'], ['occupation', 'profession', 'occupation', 'profession', 'occupation'], ['geographic region', 'region', 'ethnicity', 'region', 'geographic region'], ['political position', 'political affiliation', 'political ideology'], ['constituency', 'district', 'constituency', 'constituency'], ['province of canada', 'province', 'province of canada']]","[['person', 'name', 'personname'], ['person function'], ['populate place'], ['agent'], ['constituency', 'district'], ['region']]","[['person', 'agent', 'thing'], ['person function', 'activity'], ['populate place', 'settlement', 'region', 'place', 'spatial thing'], ['agent', 'thing'], ['constituency', 'populate place', 'place', 'thing'], ['region', 'populate place', 'place', 'thing']]"
1,c2_data/who-is-who-at-the-history-of-love-by,"[['personname', 'person', 'name', 'person', 'name', 'person name'], ['personname', 'person', 'name', 'person', 'name', 'person name'], ['citytown', 'city or town', 'city', 'citytown', 'location', 'city or town', 'city']]","[['person', 'person name', 'name', 'personname'], ['person', 'person name', 'name', 'personname'], ['city', 'citytown', 'location']]","[['person', 'agent', 'thing'], ['person', 'agent', 'thing'], ['city', 'settlement', 'populate place', 'place', 'spatial thing']]"
2,c2_data/lunar-lacus-nomenclature,"[['lake', 'lake on moon', 'lunar mare', 'moon lake'], ['latitude on the moon', 'latitude', 'lunar latitude', 'latitude', 'latitude'], ['longitude', 'lunar longitude', 'longitude on the moon', 'longitude', 'longitude'], ['diameter', 'diameter in kilometers', 'diameter', 'diameter'], ['lake', 'lake on the moon', 'lunar mare english name', 'lunar mare', 'moon lake']]","[['lake', 'moon lake', 'lake on moon'], ['latitude', 'latitude on the moon'], ['lunar longitude', 'longitude on the moon', 'longitude'], ['physical quantity'], ['lake', 'lake on the moon', 'moon lake']]","[['lake', 'body water', 'natural place', 'place', 'thing'], ['latitude', 'angle', 'quantity', 'physical quantity', 'property', 'thing'], ['longitude', 'angular measure', 'measure', 'quantity', 'physical thing', 'thing'], ['physical quantity', 'quantity', 'measure', 'owl thing'], ['lake', 'body water', 'natural place', 'place', 'spatial thing']]"
3,c2_data/test2-6,"[['person name', 'personname', 'person', 'name', 'person', 'first name', 'person name'], ['person name', 'personname', 'person', 'name', 'first name', 'person', 'person name']]","[['person name', 'name', 'personname', 'person'], ['person name', 'name', 'personname', 'person']]","[['person', 'agent', 'thing'], ['person', 'agent', 'thing']]"
4,c2_data/aiga-next-2007-attendees-from-colora,"[['person name', 'personname', 'person', 'name', 'person', 'name', 'person name'], ['company name', 'company', 'company', 'corporation', 'organization', 'company'], ['citystate', 'city state', 'city of the united states', 'city', 'city in colorado', 'city']]","[['person', 'personname', 'name', 'person name'], ['organisation', 'company', 'company name', 'organization'], ['city', 'city state', 'citystate']]","[['person', 'agent', 'thing'], ['company', 'organisation', 'agent', 'thing'], ['city', 'settlement', 'populate place', 'place', 'spatial thing']]"
5,c2_data/email-received-2,"[['email', 'email address', 'email', 'email address', 'email address'], ['day', 'day of week', 'day'], ['month', 'month', 'month'], ['date', 'date', 'date of month', 'date'], ['time 24hr format', 'time', 'time', 'time']]","[['message', 'email'], ['time period'], ['month'], ['date'], ['time period', 'time']]","[['message', 'document', 'work', 'thing'], ['time period', 'periodical', 'work', 'thing'], ['month', 'time period', 'period time', 'time interval', 'thing'], ['date', 'time period', 'interval', 'thing'], ['time period', 'periodical literature', 'work', 'document', 'physical thing', 'thing']]"
6,c2_data/maryland-2005-06-mens-basketball-div,"[['personname', 'person name', 'person', 'name', 'name', 'person name'], ['class', 'college class', 'year of college', 'educational year', 'college class'], ['year', 'year', 'year'], ['basketball position', 'basketball position abbreviation', 'position', 'basketball position', 'basketball position'], ['datemonth', 'height'], [], ['basketball points', 'total field goals made', 'goals made'], ['basketball points', 'total field goals attempted', 'attempts'], ['basketball points', 'field goals made percentage', 'percentage'], ['basketball points', 'three point field goals made', 'basketball points']]","[['person', 'person name', 'name', 'personname'], ['educational year', 'educational institution'], ['year'], ['athlete'], ['thing'], [], ['athlete'], ['athlete'], ['thing'], ['basketball points', 'basketball player stat']]","[['person', 'agent', 'thing'], ['educational institution', 'organisation', 'agent', 'thing'], ['year', 'time period', 'interval', 'thing'], ['athlete', 'person', 'agent', 'system', 'thing'], ['thing'], [], ['athlete', 'person', 'agent', 'thing'], ['athlete', 'person', 'agent', 'thing'], ['thing'], ['basketball player stat', 'athlete', 'person', 'agent', 'thing']]"
7,c2_data/planet-mars-2,"[['digital object identifier', 'doi', 'doi', 'doi'], ['keyword', 'keyword', 'keyword']]","[['doi', 'document'], ['keyword']]","[['document', 'work', 'creative work', 'thing'], ['keyword', 'thing']]"
8,c2_data/o-2,"[['registered association', 'association', 'organization'], ['association', 'registered association', 'organization']]","[['association', 'organisation', 'organization'], ['association', 'organisation', 'organization']]","[['organisation', 'societal system', 'social system', 'agent'], ['organisation', 'societal system', 'social system', 'agent']]"
9,c2_data/dataloss,"[['datemonthyear', 'calendar date', 'date', 'date'], ['organisation', 'corporation', 'organization', 'organization'], ['country code', 'country', 'country', 'country code', 'country'], ['type of business entity', 'type of organisation', 'type of business entity in the usa', 'business type', 'business type code', 'business type'], ['type of business entity', 'type of business entity in the usa', 'type of business entity', 'type of organisation', 'business subtype', 'business subtype code', 'business type'], ['data breach', 'breach type', 'type of breach', 'data breach'], ['credential', 'personally identifiable information', 'data type', 'data type stolen', 'data type'], ['personally identifiable information', 'data type', 'data type stolen', 'data type'], ['activity type', 'inside or outside', 'inside or outside'], ['third party involved', 'third party involved']]","[['calendar date', 'date'], ['organization', 'organisation', 'corporation', 'company'], ['country code', 'country'], ['organisation', 'company'], ['organisation', 'company'], ['security breach', 'security incident', 'data breach'], ['work'], ['data type stolen', 'data type'], ['place'], ['agent']]","[['date', 'time period', 'periodical', 'work', 'thing'], ['organisation', 'agent', 'social person', 'person', 'thing'], ['country code', 'populate place', 'place', 'thing'], ['company', 'organisation', 'agent', 'thing'], ['company', 'organisation', 'agent'], ['security incident', 'event', 'societal event', 'activity', 'happen', 'occurrence', 'situation', 'thing'], ['work', 'thing'], ['data type', 'thing'], ['place', 'location'], ['agent', 'person', 'organisation']]"
