,table_name,raw_labels,most_granular_concept_synonyms,label_hierarchies
0,c2_data/1st-parliament-of-canada-enhanced,"[['personname', 'name', 'person', 'name', 'person', 'name'], ['occupation', 'profession', 'occupation', 'profession', 'occupation'], ['geographic region', 'region', 'ethnicity', 'region', 'geographic region'], ['political position', 'political affiliation', 'political ideology'], ['constituency', 'district', 'constituency', 'constituency'], ['province of canada', 'province', 'province of canada']]","[['person', 'person name', 'personname', 'name'], ['occupation'], ['city', 'region'], [], ['precinct'], ['city']]","[['name', 'label', 'string', 'literal', 'resource', 'thing'], ['occupation', 'job title', 'role', 'position', 'employment', 'activity', 'human activity', 'agent activity', 'behavior', 'action', 'event', 'thing'], ['city', 'county', 'state', 'country', 'continent', 'geographic region'], [], ['precinct', 'ward', 'district', 'municipality', 'county', 'state', 'region', 'place', 'entity'], ['city', 'municipality', 'regional district', 'province', 'administrative division', 'region', 'territory', 'geopolitical entity', 'place', 'entity']]"
1,c2_data/who-is-who-at-the-history-of-love-by,"[['personname', 'person', 'name', 'person', 'name', 'person name'], ['personname', 'person', 'name', 'person', 'name', 'person name'], ['citytown', 'city or town', 'city', 'citytown', 'location', 'city or town', 'city']]","[['person', 'name', 'person name', 'personname', 'give name'], ['person', 'name', 'person name', 'personname', 'give name'], ['city town', 'city', 'citytown', 'location', 'room']]","[['person name', 'name', 'label', 'string', 'literal', 'resource', 'thing'], ['person name', 'name', 'label', 'string', 'literal', 'resource', 'thing'], ['city', 'county', 'state', 'country', 'continent', 'planet', 'solar system', 'galaxy', 'universe']]"
2,c2_data/lunar-lacus-nomenclature,"[['lake', 'lake on moon', 'lunar mare', 'moon lake'], ['latitude on the moon', 'latitude', 'lunar latitude', 'latitude', 'latitude'], ['longitude', 'lunar longitude', 'longitude on the moon', 'longitude', 'longitude'], ['diameter', 'diameter in kilometers', 'diameter', 'diameter'], ['lake', 'lake on the moon', 'lunar mare english name', 'lunar mare', 'moon lake']]","[['moon lake', 'lake', 'lake on moon', 'lake moon'], ['latitude', 'latitude on the moon'], ['longitude', 'longitude on the moon', 'lunar longitude', 'lunarlongitude'], ['diameter'], ['moon lake', 'lake', 'lake moon', 'lake on the moon']]","[['lake', 'body water', 'geographic feature', 'natural object', 'object', 'entity'], ['latitude', 'geographic coordinate', 'location', 'spatial property', 'property'], ['longitude', 'geographic coordinate', 'spatial measure', 'measure', 'quantity', 'physical property', 'property', 'entity'], ['diameter', 'line', 'geometric primitive', 'geometry', 'mathematical concept', 'concept', 'entity'], ['lake', 'body water', 'geographic feature', 'natural object', 'object', 'entity']]"
3,c2_data/test2-6,"[['person name', 'personname', 'person', 'name', 'person', 'first name', 'person name'], ['person name', 'personname', 'person', 'name', 'first name', 'person', 'person name']]","[['name', 'person name', 'give name', 'first name'], ['name', 'person name', 'give name', 'first name']]","[['give name', 'family name', 'person name', 'name', 'label', 'string', 'literal', 'resource', 'thing'], ['give name', 'family name', 'person name', 'name', 'label', 'string', 'literal', 'resource', 'thing']]"
4,c2_data/aiga-next-2007-attendees-from-colora,"[['person name', 'personname', 'person', 'name', 'person', 'name', 'person name'], ['company name', 'company', 'company', 'corporation', 'organization', 'company'], ['citystate', 'city state', 'city of the united states', 'city', 'city in colorado', 'city']]","[['name', 'person name', 'give name'], ['subsidiary'], ['city', 'city state', 'citystate']]","[['give name', 'family name', 'person name', 'name', 'label', 'string', 'literal', 'resource', 'thing'], ['subsidiary', 'division', 'department', 'team', 'company', 'corporation', 'business entity', 'organization', 'agent', 'entity', 'thing'], ['city', 'municipality', 'local government area', 'administrative division', 'subnational entity', 'state colorado', 'country unite state', 'sovereign state', 'political entity', 'geopolitical entity', 'place', 'location', 'entity']]"
5,c2_data/email-received-2,"[['email', 'email address', 'email', 'email address', 'email address'], ['day', 'day of week', 'day'], ['month', 'month', 'month'], ['date', 'date', 'date of month', 'date'], ['time 24hr format', 'time', 'time', 'time']]","[['email', 'email address', 'email message'], ['day'], ['month'], ['date time', 'date'], ['second']]","[['email message', 'document', 'creative work', 'thing'], ['day', 'time period', 'temporal entity', 'entity'], ['month', 'time period', 'temporal entity', 'entity'], ['date time', 'date', 'time', 'temporal entity', 'thing'], ['second', 'minute', 'hour', 'day', 'week', 'month', 'year', 'decade', 'century', 'millennium', 'epoch', 'era', 'eon', 'time']]"
6,c2_data/maryland-2005-06-mens-basketball-div,"[['personname', 'person name', 'person', 'name', 'name', 'person name'], ['class', 'college class', 'year of college', 'educational year', 'college class'], ['year', 'year', 'year'], ['basketball position', 'basketball position abbreviation', 'position', 'basketball position', 'basketball position'], ['datemonth', 'height'], [], ['basketball points', 'total field goals made', 'goals made'], ['basketball points', 'total field goals attempted', 'attempts'], ['basketball points', 'field goals made percentage', 'percentage'], ['basketball points', 'three point field goals made', 'basketball points']]","[['name', 'person name', 'give name'], ['class', 'college class'], ['second'], ['point guard'], ['entity'], [], [], ['concept'], ['concept'], ['free throw']]","[['give name', 'family name', 'person name', 'name', 'label', 'string', 'literal', 'resource', 'thing'], ['college class', 'course', 'academic program', 'department', 'college', 'university', 'educational institution', 'education system'], ['second', 'minute', 'hour', 'day', 'week', 'month', 'quarter', 'year', 'calendar period', 'temporal entity'], ['point guard', 'shoot guard', 'small forward', 'power forward', 'center', 'basketball player', 'athlete', 'person'], ['entity'], [], [], ['concept', 'entity'], ['concept', 'entity'], ['free throw', 'field goal', 'three pointer', 'basketball point', 'sport score', 'sport statistic', 'sport concept', 'concept', 'entity']]"
7,c2_data/planet-mars-2,"[['digital object identifier', 'doi', 'doi', 'doi'], ['keyword', 'keyword', 'keyword']]","[['document', 'doi'], ['keyword']]","[['document', 'creative work', 'thing'], ['keyword', 'thing']]"
8,c2_data/o-2,"[['registered association', 'association', 'organization'], ['association', 'registered association', 'organization']]","[['organization', 'association', 'team'], ['organization', 'association', 'team']]","[['organization', 'agent', 'thing'], ['organization', 'agent', 'thing']]"
9,c2_data/dataloss,"[['datemonthyear', 'calendar date', 'date', 'date'], ['organisation', 'corporation', 'organization', 'organization'], ['country code', 'country', 'country', 'country code', 'country'], ['type of business entity', 'type of organisation', 'type of business entity in the usa', 'business type', 'business type code', 'business type'], ['type of business entity', 'type of business entity in the usa', 'type of business entity', 'type of organisation', 'business subtype', 'business subtype code', 'business type'], ['data breach', 'breach type', 'type of breach', 'data breach'], ['credential', 'personally identifiable information', 'data type', 'data type stolen', 'data type'], ['personally identifiable information', 'data type', 'data type stolen', 'data type'], ['activity type', 'inside or outside', 'inside or outside'], ['third party involved', 'third party involved']]","[['date', 'date time', 'calendar date'], ['organisation', 'organization', 'team'], ['city', 'country'], ['sole proprietorship'], ['sole proprietorship'], ['data breach', 'data breach incident'], ['literal'], ['literal'], ['inside'], ['third party', 'third party involved']]","[['date time', 'date', 'time', 'temporal entity', 'thing'], ['team', 'department', 'division', 'subsidiary', 'company', 'corporation', 'business entity', 'organization', 'agent', 'thing'], ['city', 'state', 'country', 'sovereign state', 'administrative area', 'place', 'thing'], ['sole proprietorship', 'partnership', 'limit partnership', 'limit liability partnership', 'limit liability limit partnership', 'corporation', 'c corporation', 'professional corporation', 'nonprofit corporation', 'cooperative', 'limit liability company', 'business trust', 'series l l c', 'parent company', 'hold company', 'subsidiary', 'conglomerate', 'multinational corporation', 'business entity', 'organization', 'agent', 'entity'], ['sole proprietorship', 'partnership', 'limit partnership', 'limit liability partnership', 'limit liability limit partnership', 'corporation', 'c corporation', 'professional corporation', 'nonprofit corporation', 'cooperative', 'limit liability company', 'business trust', 'series l l c', 'parent company', 'hold company', 'subsidiary', 'conglomerate', 'multinational corporation', 'business entity', 'organization', 'agent', 'entity'], ['data breach incident', 'security incident', 'incident', 'event', 'occurrence', 'situation', 'entity'], ['literal', 'data type', 'class', 'thing'], ['literal', 'data type', 'class', 'thing'], ['inside', 'outside', 'spatialrelation', 'relation', 'entity'], ['third party', 'agent', 'entity']]"
