,output
0,"['name', 'credit', 'team', 'credit', 'team', 'team']"
1,"['artist', 'name', 'location']"
2,"['name', 'weight', 'weight', 'rank', 'name']"
3,"['position', 'county']"
4,"['name', 'team', 'county']"
5,"['name', 'day', 'day', 'age', 'duration']"
6,"['name', 'artist', 'year', 'position', 'name', 'age', 'rank', 'rank', 'weight', 'plays']"
7,"['location', 'command']"
8,"['city', 'name']"
9,"['year', 'name', 'country', 'team', 'operator', 'location', 'type', 'location', 'location', 'status']"
10,"['name', 'album', 'duration']"
11,"['state', 'duration', 'duration', 'elevation']"
12,"['description', 'location', 'location']"
13,"['album', 'gender', 'artist', 'year', 'country', 'rank']"
14,"['team', 'credit', 'age', 'team']"
15,"['team', 'year', 'plays', 'rank', 'rank', 'rank']"
16,"['team', 'depth', 'depth', 'depth', 'depth', 'age', 'weight', 'depth', 'location', 'depth']"
17,"['name', 'plays', 'rank', 'age', 'rank', 'result', 'age']"
18,"['credit', 'team', 'type', 'team']"
19,"['team', 'position']"
20,"['code', 'category', 'name', 'rank', 'location', 'name', 'status', 'age', 'age', 'rank']"
21,"['code', 'name', 'type', 'age', 'age', 'age', 'weight', 'weight', 'weight', 'weight']"
22,"['code', 'name', 'type', 'description', 'name', 'description', 'description', 'description', 'description', 'notes']"
23,"['address', 'rank', 'elevation', 'city', 'duration', 'status', 'name', 'state', 'album', 'code']"
24,"['type', 'description', 'address', 'elevation', 'elevation', 'elevation', 'elevation', 'elevation', 'elevation']"
25,"['rank', 'name', 'type', 'rank', 'rank', 'class', 'rank', 'company', 'product', 'result']"
26,"['code', 'type', 'company', 'description', 'type', 'class', 'status', 'description', 'code', 'country']"
27,"['duration', 'name', 'type', 'type', 'class', 'description', 'notes', 'publisher', 'type', 'notes']"
28,"['city', 'year', 'status', 'rank']"
29,"['code', 'team', 'status', 'type', 'status', 'category', 'type', 'type', 'description', 'status']"
30,"['code', 'code', 'name', 'result', 'album', 'city', 'description', 'rank', 'status', 'rank']"
31,"['year', 'team', 'year', 'description', 'operator', 'album']"
32,"['notes', 'company', 'name', 'manufacturer', 'description', 'company', 'region', 'result', 'result', 'result']"
33,"['rank', 'code', 'name', 'description', 'city', 'address', 'code', 'type', 'code', 'command']"
34,"['symbol', 'code', 'description', 'result', 'description']"
35,"['county', 'age', 'year', 'team', 'rank', 'depth', 'class', 'weight', 'class', 'weight']"
36,"['category', 'description', 'description', 'duration', 'duration', 'address', 'description', 'year']"
37,"['company', 'team', 'position', 'result']"
38,"['type', 'region', 'day', 'code', 'location', 'code', 'location', 'location', 'type', 'region']"
39,"['year', 'category', 'category', 'age', 'type', 'description', 'operator', 'rank']"
40,"['code', 'age', 'type', 'result', 'result', 'code', 'weight', 'weight', 'age', 'code']"
41,"['code', 'name', 'city', 'name', 'code', 'region', 'code', 'name', 'result', 'result']"
42,"['code', 'status', 'result', 'status', 'duration', 'rank', 'code', 'status', 'rank', 'name']"
43,"['team', 'type', 'year', 'type', 'year', 'year', 'region', 'county', 'region', 'depth']"
44,"['code', 'name', 'result', 'code', 'code', 'age', 'code', 'code', 'age']"
45,"['name', 'type', 'result', 'type', 'type', 'depth', 'depth', 'team', 'type', 'class']"
46,"['position', 'result', 'position', 'depth', 'class', 'depth', 'depth', 'position', 'code', 'depth']"
47,"['rank', 'year', 'type', 'language', 'position', 'language', 'product', 'age', 'language', 'language']"
48,"['year', 'duration', 'duration', 'type', 'name', 'rank', 'team', 'product', 'duration', 'rank']"
49,"['name', 'name', 'age', 'sex', 'age', 'status', 'status', 'rank', 'rank', 'weight']"
50,"['year', 'position', 'birthDate', 'name', 'age', 'collection']"
51,"['duration', 'rank', 'rank', 'type', 'plays', 'status', 'description', 'status', 'status', 'status']"
52,"['rank', 'weight', 'duration', 'duration', 'type', 'class', 'rank', 'age', 'category', 'duration']"
53,"['code', 'rank', 'result', 'age', 'rank', 'age', 'rank', 'rank', 'age', 'notes']"
54,"['code', 'code', 'duration', 'duration', 'duration', 'artist', 'code', 'location', 'company', 'category']"
55,"['code', 'code', 'code', 'area', 'industry', 'collection', 'collection', 'position']"
56,"['area', 'product', 'position', 'elevation', 'product', 'position', 'duration']"
