,output
0,"['name', 'occupation', 'place of birth', 'political affiliation', 'electoral district', 'province of representation']"
1,"['person of interest', ""associate's name or description"", 'location']"
2,"['name of geographic feature', 'latitude', 'longitude', 'diameter', 'english translation of feature name']"
3,"['-', '-']"
4,"['person name', 'company/organization name', 'location/city']"
5,"['email address', 'day of the week', 'month', 'day of the month', 'time of day']"
6,"['player name', 'class year', 'season year', 'position', 'height', 'games played', 'field goals made', 'field goals attempted', 'field goal percentage', 'three-point field goals made']"
7,"['digital object identifier', 'scientific keywords/topics']"
8,"['water company or organization name', 'product']"
9,"['date of incident', 'affected organization', 'country', 'sector', 'industry', 'attack vector', 'data compromised', 'additional data compromised', 'origin of breach', 'data encrypted']"
10,"['song title', 'artist/band name', 'rating/score']"
11,"['state name', 'numeric value', 'numeric ratio or percentage', 'population count']"
12,"['production company name', 'average movie rating', 'total number of ratings']"
13,"['discipline or category', 'gender', 'athlete name', 'year of record', 'country of record', 'depth']"
14,"['province or country', 'occupation', 'political affiliation', 'electoral district or location']"
15,"['institution name', 'year', 'number of events', 'event code', 'total participants', 'average participants per event']"
16,"['state abbreviation', 'year 1 unemployment rate', 'year 2 unemployment rate', 'year 3 unemployment rate', 'year 4 unemployment rate', 'year 5 unemployment rate', 'year 6 unemployment rate', 'year 7 unemployment rate', 'year 1 crime rate per 100', 'year 2 crime rate per 100']"
17,"['name', 'score on date 11/02/06', 'score on date 11/30/06', 'score on date 01/04/07', 'score on date 02/08/07', 'data not available', 'total score']"
18,"['profession', 'place of origin or residence', 'political affiliation', 'electoral district or location of practice']"
19,"['security company names', 'number of contracts or incidents']"
20,"['school code', 'school level', 'school name', 'student enrollment', 'borough', 'principal name', 'middle school included', 'percentage of students with disabilities', 'math proficiency score', 'reading proficiency score']"
21,"['school code', 'school name', 'school level', 'percentage of students meeting standards in english', 'percentage of students meeting standards in math', 'percentage of students meeting standards in science', 'school environment rating', 'school facilities rating', 'school safety rating', 'school academic expectations rating']"
22,"['school code', 'school name', 'borough code', 'school description', 'academic programs and extracurricular activities', 'technology and learning resources', 'college preparation and advanced courses', 'arts and cultural programs', 'special programs and partnerships', 'language support programs']"
23,"['address', 'zone code', 'location id', 'city', 'capacity', 'unique identifier', 'service area', 'state', 'service type', 'postal code']"
24,"['project category', 'project type', 'project detail', 'year 1 expenditure', 'year 2 expenditure', 'year 3 expenditure', 'year 4 expenditure', 'year 5 expenditure', 'total expenditure']"
25,"['tree id', 'defect type', 'affected part', 'severity score', 'urgency score', 'maintenance priority score', 'total assessment score', 'inspection id', 'location id', 'inspection timestamp']"
26,"['case number', 'case type', 'applicant or business name', 'additional business name or placeholder', 'business category or license type', 'unique identification number', 'code or abbreviation for fee type', 'description of fee type', 'fee amount', 'placeholder or unused column']"
27,"['-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
28,"['borough', 'year', 'request status', 'number of requests']"
29,"['case identifier', 'department name', 'case status', 'communication method', 'issue category', 'specific issue type', 'urgency indicator', 'priority indicator', 'action requested', 'requester type']"
30,"['case number', 'license number', 'business name', 'violation date', 'business type', 'borough', 'violation code and description', 'violation count', 'case outcome', 'fine amount']"
31,"['academic year', 'geographic scope', 'student group', 'student status change', 'number of students affected', 'total number of students in cohort/group']"
32,"['contract period', 'agency name', 'contract number', 'business classification', 'service description', 'vendor name', 'vendor zip code', 'contract start date', 'contract end date', 'contract approval date']"
33,"['district code', 'school code', 'school name', 'school description', 'neighborhood', 'school address', 'shared campus', 'accessibility', 'contact number', 'school website']"
34,"['sample identifier', 'test code', 'water quality parameter', 'timestamp', 'observation note']"
35,"['borough', 'district number', 'year', 'student category', 'total students', 'average score', 'number of incidents', 'incident rate', 'number of suspensions', 'suspension rate']"
36,"['agency name', 'report title', 'report description', 'reporting frequency', 'legal references', 'legal authority', 'report url', 'report publication date']"
37,"['company name', 'business entity type', 'contact phone number', 'registration date or founding date']"
38,"['borough code', 'district number', 'school level', 'school code', 'school name', 'building code', 'building name', 'room type/usage', 'availability indicator', 'room count/quantity']"
39,"['academic year', 'geographic scope', 'student demographic', 'outcome code', 'outcome type', 'outcome description', 'number of students', 'total student population']"
40,"['station identifier', ""i don't know"", ""i don't know"", 'start timestamp', 'end timestamp', 'measurement id', 'temperature', 'latitude', 'longitude', 'altitude']"
41,"['identifier', 'station code', 'location name', 'managing organization', 'latitude', 'longitude', 'elevation', 'height of monument', 'start date of operation', 'end date of operation or last update date']"
42,"['dataset_identifier', 'data_availability_status', 'observation_datetime', 'observation_end_marker', 'observation_duration', 'longitude', 'latitude', 'observation_type', 'additional_parameter', 'observed_phenomenon']"
43,"['station identifier', 'measurement device id', 'data record id', 'device model', 'measurement start date', 'measurement end date', 'minimum recorded value', 'maximum recorded value', 'average recorded value', 'reference value or calibration value']"
44,"['station id', 'location', 'timestamp', 'longitude', 'latitude', 'temperature', 'temperature', 'temperature', 'quality control flag']"
45,"['record_identifier', 'license_type', 'timestamp', 'time_period_start', 'data_frequency', 'longitude', 'latitude', 'data_source', 'data_quality_score', 'measurement_type']"
46,"['identifier/code', 'timestamp/date', 'sequence/time index', 'fixed value/constant', 'longitude', 'latitude', 'altitude/elevation', 'measurement value 1', 'measurement value 2', 'measurement value 3']"
47,"[""i don't know"", 'alert type', ""i don't know"", 'patient information', 'patient identifier or year', ""i don't know"", 'device name or operating system', 'glucose level threshold', ""i don't know"", ""i don't know""]"
48,"['date', 'time', 'datetime', 'unknown or not applicable', 'food item name', 'quantity', 'measurement unit', 'detailed food item name', 'calories', 'carbohydrates content']"
49,"['file name', 'file name', 'subject id', 'gender', 'age', 'dominant hand', 'non-dominant hand', 'session number', 'trial number', 'measurement value']"
50,"['patient id', 'record id', 'file path', 'encounter id', 'encounter number', 'timestamp']"
51,"['time of day', 'user or session id', 'location or area code', 'category or type', 'temperature change indicator', 'temperature trend', 'clothing items', 'agreement level 1', 'agreement level 2', 'agreement level 3']"
52,"['identifier/index', 'room number/location', 'start time', 'end time', 'duration type', 'week number', 'day of week', 'session number', 'subject', 'special notes/room assignment']"
53,"['patient id', 'encounter id', 'timestamp', 'body temperature', 'systolic blood pressure', 'respiratory rate', 'oxygen saturation', 'diastolic blood pressure', 'heart rate', 'cardiac rhythm status']"
54,"['patient id', 'admission id', 'admission date and time', 'discharge date and time', 'death date and time', 'admission priority', 'patient code', 'admission source', 'discharge location', 'insurance type']"
55,"['patient id', 'hospital admission id', 'encounter id', 'initial care unit', 'subsequent care unit', 'admission timestamp', 'discharge timestamp', 'length of stay']"
56,"['-', '-', '-', '-', '-', '-', '-']"
